2026-06-18 13:46:20,031 | INFO | ======================================================================
2026-06-18 13:46:20,032 | INFO | PROCESSING: Bharat_Ek_Khoj_Ep_016_without_cc (v2: calibrated thresholds + vision-log fusion)
2026-06-18 13:46:20,033 | INFO | ======================================================================
2026-06-18 13:46:24,194 | INFO | Using existing vision log: panns_v2_results\Bharat_Ek_Khoj_Ep_016_without_cc\florence_log.jsonl
2026-06-18 13:46:24,196 | INFO | Loaded 213 timestamped scene captions from vision log.
2026-06-18 13:46:29,994 | INFO | [0.00s] Predicted palette (18 classes): Music of Bollywood, Music of Asia, Chorus effect, Mantra, Caterwaul, Music of Africa...
2026-06-18 13:46:30,056 | INFO | [1.48s] Predicted palette (18 classes): Waves, surf, Sound effect, Clatter, Wind, Wind instrument, woodwind instrument, Rustling leaves...
2026-06-18 13:46:30,110 | INFO | [2.96s] Predicted palette (18 classes): Waves, surf, Wind instrument, woodwind instrument, Wind, Rustling leaves, Clatter, Wind chime...
2026-06-18 13:46:30,195 | INFO | [4.44s] Predicted palette (18 classes): Walk, footsteps, Rustling leaves, Waves, surf, Crowd, Clatter, Waterfall...
2026-06-18 13:46:30,241 | INFO | [5.92s] Predicted palette (18 classes): Rustling leaves, Camera, Wind, Walk, footsteps, Waves, surf, Car passing by...
2026-06-18 13:46:30,289 | INFO | [7.40s] Predicted palette (18 classes): Walk, footsteps, Waves, surf, Rustling leaves, Clatter, Wind, Crowd...
2026-06-18 13:46:30,367 | INFO | [8.88s] Predicted palette (18 classes): Camera, Rustling leaves, Walk, footsteps, Wind, Waterfall, Scary music...
2026-06-18 13:46:30,441 | INFO | [10.36s] Predicted palette (18 classes): Camera, Rustling leaves, Wind, Waves, surf, Wind instrument, woodwind instrument, Walk, footsteps...
2026-06-18 13:46:30,510 | INFO | [11.84s] Predicted palette (18 classes): Waves, surf, Wind instrument, woodwind instrument, Wind, Rustling leaves, Clatter, Wind chime...
2026-06-18 13:46:30,574 | INFO | [13.32s] Predicted palette (18 classes): Waves, surf, Wind instrument, woodwind instrument, Wind, Rustling leaves, Clatter, Wind chime...
2026-06-18 13:46:30,640 | INFO | [14.80s] Predicted palette (18 classes): Waves, surf, Clatter, Rustling leaves, Wind instrument, woodwind instrument, Waterfall, Wind...
2026-06-18 13:46:30,709 | INFO | [16.28s] Predicted palette (18 classes): Waves, surf, Rustling leaves, Wind instrument, woodwind instrument, Clatter, Wood, Waterfall...
2026-06-18 13:46:30,774 | INFO | [17.76s] Predicted palette (18 classes): Waves, surf, Wind instrument, woodwind instrument, Wind, Rustling leaves, Clatter, Wind chime...
2026-06-18 13:46:30,850 | INFO | [19.24s] Predicted palette (18 classes): Waves, surf, Clatter, Rustling leaves, Wood, Wind instrument, woodwind instrument, Sine wave...
2026-06-18 13:46:31,000 | INFO | [20.72s] Predicted palette (18 classes): Waves, surf, Rustling leaves, Wind instrument, woodwind instrument, Clatter, Waterfall, Wind...
2026-06-18 13:46:31,114 | INFO | [22.20s] Predicted palette (18 classes): Camera, Walk, footsteps, Car passing by, Waves, surf, Waterfall, White noise...
2026-06-18 13:46:31,347 | INFO | [23.68s] Predicted palette (18 classes): Camera, Walk, footsteps, Car passing by, Waves, surf, White noise, Waterfall...
2026-06-18 13:46:31,432 | INFO | [25.16s] Predicted palette (18 classes): Waves, surf, Camera, Wind chime, Wind, Sound effect, Honk...
